time,lat_site_1,lon_site_1,CHL_1,lat_site_2,lon_site_2,CHL_2,lat_site_3,lon_site_3,CHL_3,lat_site_4,lon_site_4,CHL_4
2013-04-19,6.104164,116.10417,0.22756639,6.0624976,116.10417,0.24046727,6.0208306,116.10417,0.25297704,6.0208306,116.06251,0.25666118
2013-04-20,6.104164,116.10417,0.22631359,6.0624976,116.10417,0.23841919,6.0208306,116.10417,0.25028697,6.0208306,116.06251,0.25361806
2013-04-21,6.104164,116.10417,1.1974132,6.0624976,116.10417,3.2321167,6.0208306,116.10417,3.1402779,6.0208306,116.06251,2.4680498
2013-04-22,6.104164,116.10417,1.2018855,6.0624976,116.10417,3.2398431,6.0208306,116.10417,3.1520429,6.0208306,116.06251,2.50579
2013-04-23,6.104164,116.10417,1.2019047,6.0624976,116.10417,3.2398674,6.0208306,116.10417,3.1520655,6.0208306,116.06251,2.5058193
2013-04-24,6.104164,116.10417,0.39005142,6.0624976,116.10417,0.41376755,6.0208306,116.10417,0.44961023,6.0208306,116.06251,0.43535265
2013-04-25,6.104164,116.10417,0.5491795,6.0624976,116.10417,0.86118716,6.0208306,116.10417,0.74380356,6.0208306,116.06251,0.67383647
2013-04-26,6.104164,116.10417,0.5430366,6.0624976,116.10417,0.7310723,6.0208306,116.10417,0.69329095,6.0208306,116.06251,0.63985306
2013-04-27,6.104164,116.10417,1.3350252,6.0624976,116.10417,11.269869,6.0208306,116.10417,7.7250977,6.0208306,116.06251,5.830938
2013-04-28,6.104164,116.10417,0.23872334,6.0624976,116.10417,0.28839728,6.0208306,116.10417,0.30024424,6.0208306,116.06251,0.3081649
2013-04-29,6.104164,116.10417,3.0885403,6.0624976,116.10417,2.5809047,6.0208306,116.10417,0.7939083,6.0208306,116.06251,1.0628008
2013-04-30,6.104164,116.10417,0.29798287,6.0624976,116.10417,0.31906667,6.0208306,116.10417,0.367291,6.0208306,116.06251,0.37816164
2013-05-01,6.104164,116.10417,0.28937528,6.0624976,116.10417,0.30948523,6.0208306,116.10417,0.3560512,6.0208306,116.06251,0.36972857
2013-05-02,6.104164,116.10417,0.56152457,6.0624976,116.10417,2.6010394,6.0208306,116.10417,3.351588,6.0208306,116.06251,2.7858565
2013-05-03,6.104164,116.10417,0.5965667,6.0624976,116.10417,2.7303824,6.0208306,116.10417,3.4537554,6.0208306,116.06251,2.8118508
2013-05-04,6.104164,116.10417,0.5518656,6.0624976,116.10417,2.5582297,6.0208306,116.10417,3.3264163,6.0208306,116.06251,2.7793825
2013-05-05,6.104164,116.10417,0.21863781,6.0624976,116.10417,0.22735928,6.0208306,116.10417,0.25208256,6.0208306,116.06251,0.24880682
2013-05-06,6.104164,116.10417,0.30576113,6.0624976,116.10417,0.33191147,6.0208306,116.10417,1.0075523,6.0208306,116.06251,1.1369466
2013-05-07,6.104164,116.10417,0.30793563,6.0624976,116.10417,0.3563662,6.0208306,116.10417,1.0093397,6.0208306,116.06251,1.1386092
2013-05-08,6.104164,116.10417,0.3115344,6.0624976,116.10417,0.33578652,6.0208306,116.10417,0.6966032,6.0208306,116.06251,0.6648095
2013-05-09,6.104164,116.10417,0.29841638,6.0624976,116.10417,0.3216985,6.0208306,116.10417,0.51805645,6.0208306,116.06251,0.5155441
2013-05-10,6.104164,116.10417,0.40223026,6.0624976,116.10417,0.4129489,6.0208306,116.10417,0.6375978,6.0208306,116.06251,0.56112456
2013-05-11,6.104164,116.10417,0.655549,6.0624976,116.10417,1.0084405,6.0208306,116.10417,0.8223392,6.0208306,116.06251,0.7445748
2013-05-12,6.104164,116.10417,1.0890213,6.0624976,116.10417,1.9464903,6.0208306,116.10417,1.419482,6.0208306,116.06251,1.2500445
2013-05-13,6.104164,116.10417,1.5830685,6.0624976,116.10417,3.5916724,6.0208306,116.10417,2.0529804,6.0208306,116.06251,1.7912439
2013-05-14,6.104164,116.10417,1.3014363,6.0624976,116.10417,3.167887,6.0208306,116.10417,1.6548289,6.0208306,116.06251,1.4783591
2013-05-15,6.104164,116.10417,0.543912,6.0624976,116.10417,0.63418597,6.0208306,116.10417,0.64361715,6.0208306,116.06251,0.62417114
2013-05-16,6.104164,116.10417,0.4159178,6.0624976,116.10417,0.45817897,6.0208306,116.10417,0.4455385,6.0208306,116.06251,0.4165256
2013-05-17,6.104164,116.10417,0.40009087,6.0624976,116.10417,0.42310238,6.0208306,116.10417,0.43125635,6.0208306,116.06251,0.4033892
2013-05-18,6.104164,116.10417,0.5339009,6.0624976,116.10417,0.906123,6.0208306,116.10417,1.0130229,6.0208306,116.06251,0.84538764
2013-05-19,6.104164,116.10417,0.5238506,6.0624976,116.10417,1.412305,6.0208306,116.10417,1.3779957,6.0208306,116.06251,1.0431466
2013-05-20,6.104164,116.10417,0.3266953,6.0624976,116.10417,0.38308725,6.0208306,116.10417,0.40159345,6.0208306,116.06251,0.3644283
2013-05-21,6.104164,116.10417,0.22615148,6.0624976,116.10417,0.22385283,6.0208306,116.10417,0.24699405,6.0208306,116.06251,0.22892316
2013-05-22,6.104164,116.10417,0.83837855,6.0624976,116.10417,5.5002246,6.0208306,116.10417,5.0834575,6.0208306,116.06251,3.5652294
2013-05-23,6.104164,116.10417,0.5485682,6.0624976,116.10417,2.5790887,6.0208306,116.10417,2.6943054,6.0208306,116.06251,1.8354714
2013-05-24,6.104164,116.10417,0.55173135,6.0624976,116.10417,2.1528847,6.0208306,116.10417,2.2914865,6.0208306,116.06251,1.547543
2013-05-25,6.104164,116.10417,0.47138575,6.0624976,116.10417,0.5045177,6.0208306,116.10417,0.5685013,6.0208306,116.06251,0.51771164
2013-05-26,6.104164,116.10417,0.5372754,6.0624976,116.10417,0.574309,6.0208306,116.10417,0.65857816,6.0208306,116.06251,0.6452974
2013-05-27,6.104164,116.10417,0.5356678,6.0624976,116.10417,0.5658877,6.0208306,116.10417,0.6468857,6.0208306,116.06251,0.6142266
2013-05-28,6.104164,116.10417,0.3304729,6.0624976,116.10417,0.29312995,6.0208306,116.10417,0.35228613,6.0208306,116.06251,0.2245067
2013-05-29,6.104164,116.10417,15.901407,6.0624976,116.10417,0.8567298,6.0208306,116.10417,0.93536234,6.0208306,116.06251,0.8361714
2013-05-30,6.104164,116.10417,5.019607,6.0624976,116.10417,0.76321733,6.0208306,116.10417,0.8272495,6.0208306,116.06251,0.7425171
2013-05-31,6.104164,116.10417,0.5428287,6.0624976,116.10417,0.61716115,6.0208306,116.10417,0.74774724,6.0208306,116.06251,0.7365782
2013-06-01,6.104164,116.10417,0.8577392,6.0624976,116.10417,3.0621264,6.0208306,116.10417,3.5235965,6.0208306,116.06251,3.4706247
2013-06-02,6.104164,116.10417,1.4176296,6.0624976,116.10417,1.0850486,6.0208306,116.10417,1.2282495,6.0208306,116.06251,1.8411082
2013-06-03,6.104164,116.10417,0.85319835,6.0624976,116.10417,0.86411256,6.0208306,116.10417,0.9593776,6.0208306,116.06251,0.9765133
2013-06-04,6.104164,116.10417,0.85056144,6.0624976,116.10417,1.4134185,6.0208306,116.10417,2.4976695,6.0208306,116.06251,2.039836
2013-06-05,6.104164,116.10417,0.67058265,6.0624976,116.10417,1.0190676,6.0208306,116.10417,1.6207784,6.0208306,116.06251,1.3078343
2013-06-06,6.104164,116.10417,0.3607273,6.0624976,116.10417,0.3689151,6.0208306,116.10417,0.40885702,6.0208306,116.06251,0.40025327
2013-06-07,6.104164,116.10417,0.42265093,6.0624976,116.10417,0.46392736,6.0208306,116.10417,0.5704555,6.0208306,116.06251,0.5493439
2013-06-08,6.104164,116.10417,0.34874725,6.0624976,116.10417,0.3780424,6.0208306,116.10417,0.42680055,6.0208306,116.06251,0.4329083
2013-06-09,6.104164,116.10417,0.3837883,6.0624976,116.10417,0.4422707,6.0208306,116.10417,0.49160475,6.0208306,116.06251,0.49906877
2013-06-10,6.104164,116.10417,0.40893072,6.0624976,116.10417,0.44231182,6.0208306,116.10417,0.49165004,6.0208306,116.06251,0.49910372
2013-06-11,6.104164,116.10417,0.4069555,6.0624976,116.10417,0.41303378,6.0208306,116.10417,0.4881083,6.0208306,116.06251,0.52762854
2013-06-12,6.104164,116.10417,0.3950535,6.0624976,116.10417,0.4284947,6.0208306,116.10417,0.5310644,6.0208306,116.06251,0.50241715
2013-06-13,6.104164,116.10417,0.52694494,6.0624976,116.10417,0.52893144,6.0208306,116.10417,0.55213374,6.0208306,116.06251,0.5597289
2013-06-14,6.104164,116.10417,0.5278206,6.0624976,116.10417,0.52983207,6.0208306,116.10417,0.5531871,6.0208306,116.06251,0.5610192
2013-06-15,6.104164,116.10417,0.52588904,6.0624976,116.10417,0.56363916,6.0208306,116.10417,0.55313295,6.0208306,116.06251,0.5608888
2013-06-16,6.104164,116.10417,0.52612704,6.0624976,116.10417,0.49911675,6.0208306,116.10417,0.56146467,6.0208306,116.06251,0.5281918
2013-06-17,6.104164,116.10417,0.9225231,6.0624976,116.10417,0.9225231,6.0208306,116.10417,0.9225231,6.0208306,116.06251,0.9758868
2013-06-18,6.104164,116.10417,0.78360885,6.0624976,116.10417,0.8025524,6.0208306,116.10417,0.7570514,6.0208306,116.06251,0.76203406
2013-06-19,6.104164,116.10417,0.78353846,6.0624976,116.10417,0.7907509,6.0208306,116.10417,0.7458046,6.0208306,116.06251,0.78353846
2013-06-20,6.104164,116.10417,0.78353846,6.0624976,116.10417,0.7458046,6.0208306,116.10417,0.7458046,6.0208306,116.06251,0.78353846
2013-06-21,6.104164,116.10417,0.78217703,6.0624976,116.10417,0.6840521,6.0208306,116.10417,0.7426918,6.0208306,116.06251,0.78217703
2013-06-22,6.104164,116.10417,0.5162124,6.0624976,116.10417,0.5396097,6.0208306,116.10417,0.5457367,6.0208306,116.06251,0.54919696
2013-06-23,6.104164,116.10417,0.37960902,6.0624976,116.10417,0.5706516,6.0208306,116.10417,0.870423,6.0208306,116.06251,0.870423
2013-06-24,6.104164,116.10417,0.3796152,6.0624976,116.10417,0.5706633,6.0208306,116.10417,1.2274119,6.0208306,116.06251,0.870457
2013-06-25,6.104164,116.10417,0.3796152,6.0624976,116.10417,0.60621935,6.0208306,116.10417,1.2274119,6.0208306,116.06251,0.870457
2013-06-26,6.104164,116.10417,0.3014189,6.0624976,116.10417,0.46420613,6.0208306,116.10417,0.91850483,6.0208306,116.06251,0.6530098
